Link,Username,Content
https://twitter.com/suricidal/status/1569742644946812929,suricidal,"marvel is promoting the genocide and colonialism against palestinians in the new captain america movie, please don’t support it and don’t give marvel your money https://t.co/aRVD7PbqMF"
https://twitter.com/DiscussingFilm/status/1568690195972890626,DiscussingFilm,Shira Haas has been cast as Israeli superheroine Sabra in ‘CAPTAIN AMERICA NEW WORLD ORDER’. #D23Expo https://t.co/zmoV2VG485
https://twitter.com/DiscussingFilm/status/1568681824758415360,DiscussingFilm,Danny Ramirez returns as the new Falcon in ‘CAPTAIN AMERICA NEW WORLD ORDER’. #D23Expo https://t.co/zfF9IXbuXL
https://twitter.com/DiscussingFilm/status/1568681581522616321,DiscussingFilm,Julius Onah describes ‘CAPTAIN AMERICA NEW WORLD ORDER’ as a paranoid thriller. #D23Expo https://t.co/r5XLP1ERnz
https://twitter.com/DiscussingFilm/status/1568681335992074240,DiscussingFilm,Carl Lumbly will return as Isaiah Bradley in ‘CAPTAIN AMERICA NEW WORLD ORDER’. #D23Expo https://t.co/UujRIqswQc
https://twitter.com/DiscussingFilm/status/1568680996215865345,DiscussingFilm,Tim Blake Nelson will return as The Leader for ‘CAPTAIN AMERICA NEW WORLD ORDER’ as the main villain. #D23Expo https://t.co/bGrC8K35Vk
https://twitter.com/DiscussingFilm/status/1568680789625257984,DiscussingFilm,New logo for ‘CAPTAIN AMERICA NEW WORLD ORDER’ #D23Expo https://t.co/O4yuDbhPoJ
https://twitter.com/therealsupes/status/1568680778963521536,therealsupes,CAPTAIN AMERICA 4 TIME! #D23Expo https://t.co/b1Mw98Cu00
https://twitter.com/MCUSource/status/1568607202583117829,MCUSource,CONFIRMED: Sebastian Stan’s Bucky Barnes/#WinterSoldier will have long hair in #CaptainAmerica: NEW WORLD ORDER! https://t.co/30d7fhcXRW
https://twitter.com/CultureCrave/status/1568338189248790528,CultureCrave,First trailer for Skydance's Captain America &amp; Black Panther WWII game 🎮 https://t.co/GOOwKHqQlS
https://twitter.com/CultureCrave/status/1568334772581318656,CultureCrave,Skydance's Marvel project is a Captain America &amp; Black Panther game set during World War 2 https://t.co/TW626vVtOP
https://twitter.com/DiscussingFilm/status/1568334188960514055,DiscussingFilm,A Captain America &amp; Black Panther game set during World War 2 has been announced. #D23Expo https://t.co/rMyBdznqoR
https://twitter.com/3CFilmss/status/1568298731090448384,3CFilmss,"New logos for Fantastic Four , Daredevil Born Again, &amp; Captain America 4 at #D23Expo 😯😯😯 https://t.co/OJtUoEn8xV"
https://twitter.com/photonsmight/status/1565704631451254784,photonsmight,"IF CAPTAIN AMERICA CAN F*CK

SHE-HULK CAN TWERK"
https://twitter.com/therealsupes/status/1564737028834467840,therealsupes,"Marvel has revealed some characters that’ll play prominent roles in Phase 5:

• Kate Bishop
• Ms. Marvel
• Daredevil 
• Echo 
• Captain America

via https://t.co/OsMJxaI73M https://t.co/zJQw97XjnO"
https://twitter.com/ChainsawManDog/status/1563572177051340800,ChainsawManDog,Captain America drawn by the Chainsaw Man manga author Tatsuki Fujimoto. https://t.co/poG7c1fwh0
https://twitter.com/Meltamaok/status/1562788125361197056,Meltamaok,Captain America après 70 ans passé dans la glace quand il voit des noirs assis à côté des blancs dans le bus https://t.co/GOtxBvhjCX
https://twitter.com/wandaslizzie/status/1562731190787772416,wandaslizzie,JEN’S LOCK SCREEN IS CAPTAIN AMERICA’S ASS HHDKDKD 😭😭😭😭 #SheHulk https://t.co/T9bvgbDfzx
